title,categories,disposals,description,warnings
Surfbrett,Sperrabfall,"Wertstoffhof,Sperrabfallabholung","Sperrabfall sind bewegliche Gegenstände aus Privathaushalten, die selbst nach einer zumutbaren Zerkleinerung auf Grund ihrer Sperrigkeit, ihres Gewichtes oder ihrer Materialbeschaffenheit nicht in die Restabfallbehälter und -zusatzsäcke passen, wie z. B. Tisch und Stühle, Sofas, Sessel, Polster, Bettgestelle aus Holz oder Kunststoff, Matratzen usw.5 m³ Sperrabfall können Sie kostenlos abholen lassen. Dabei sollten die Gegenstände eine Länge von 2 m und eine Gewicht von max. 75 kg nicht überschreiten. Bitte vereinbaren Sie einen Termin - online oder telefonisch.Wichtiger Hinweis: Glastische können nicht bei der Sperrabfallabfuhr mitgenommen werden. Bitte bringen Sie diese für die Entsorgung zu den Wertstoffhöfe oder Deponien.",
Styropor®,Leichtverpackungen,Gelbe Tonne,"Styropor® ist ein eingetragener Markenname für Produkte aus Polystyrol. Aus diesem Material werden u. a. Verkaufsverpackungen, z. B. Joghurt-, Quark- und Margarinebecher hergestellt. Löffelrein geleert gehören diese Verpackungen in die gelbe Tonne für Leichtverpackungen. Polystyrol-Transport- und -Umverpackungen, die z. B. beim Kauf von verpackten neuen Geräten anfallen, sollten an den Händler zurückgegeben werden. Ist das nicht möglich, entsorgen Privathaushalte diese Verpackungen über die gelbe Tonne für Leichtverpackungen. Auch die Wertstoffhöfe nehmen diese Verpackungen an. Baustoffe wie Isolier- und Deckenmaterialen aus Polystyrol müssen als Bauabfall entsorgt werden. Privathaushalte können dieses Material an den Deponien bis zur Menge von 1 m³ kostenlos abgeben.",
Südfrüchte,,,"Bioabfall wird im Bioabfallkompostwerk von aha zu hochwertigem RAL-gütegesichertem Kompost verarbeitet. Die Annahme erfolgt über die Biotonne. Bei nachgewiesener Eigenkompostierung, kann es auch auf dem eigenen Grundstück verwertet werden. Die Annahmebedingungen sind abhängig von der Art des Bioabfalls.Bioabfälle sind z.B.:In die Biotonne können zusätzlich folgende Grünabfälle gegeben werden:Bei einer Vermischung der Grün- und Bioabfälle könne diese nur über die zuvor genannten Behältnisse oder aber per Anlieferung auf einer der drei aha-Deponien gegen Gebühr angeliefert werden.Wichtiger Hinweis: Ungebleichtes Papier und Küchentücher können in kleinen Mengen (nur Einzelblätter) zum Einwickeln des feuchten Bioabfalls in der Biotonne verwendet werden.",
Super-8-Filme,Restabfall,Restabfalltonne,"Nach dem Aussortieren von Wertstoffen (z.B. Papier oder Glas), Bio-, Bau- (z. B. Steine) und Sonderabfällen bleibt noch der so genannte Restabfall, der in die Restabfalltonne gehört, wie z. B. Asche, Essensreste, Brot- und Kuchenreste, Fleisch- und Fischreste, Glühlampen, Kehricht usw. übrig. Zur Grillzeit gehört Grillkohle (vollständig ausgeglüht), Schaschlikspieße, Streichhölzer, Feuerzeuge (wenn sie leer sind) und Servietten in die Restabfalltonne.Wenn gelegentlich mehr Abfall anfällt, können Sie beim Wertstoffhof oder online einen Zusatzsack kaufen. Stellen Sie diesen am Leerungstag einfach zu dem Restabfallbehälter - wir nehmen ihn mit.",
Stubben,,Deponie,"Bis zu 1m ³ Ihrer Rodungsmaterialen wie Wurzelballen, Stammhölzer oder Stubben (mit einem Durchmesser über 15cm) können kostenlos auf den drei Deponien der Region Hannover abgegeben werden. Eine Annahme von Rodungsmaterialien auf den Wertstoffhöfen ist nicht möglich. Kleineres Wurzelmaterial können Sie über die kostenlose Grünabfallabgabestelle auf den Deponien entsorgen. Sollten Sie einmal eine größere Menge an Wurzelballen als 1 m³ entsorgen wollen, können Sie diese kostenpflichtig auf unseren Deponien anliefern.",
Stuhl,Sperrabfall,"Wertstoffhof,Sperrabfallabholung","Sperrabfall sind bewegliche Gegenstände aus Privathaushalten, die selbst nach einer zumutbaren Zerkleinerung auf Grund ihrer Sperrigkeit, ihres Gewichtes oder ihrer Materialbeschaffenheit nicht in die Restabfallbehälter und -zusatzsäcke passen, wie z. B. Tisch und Stühle, Sofas, Sessel, Polster, Bettgestelle aus Holz oder Kunststoff, Matratzen usw.5 m³ Sperrabfall können Sie kostenlos abholen lassen. Dabei sollten die Gegenstände eine Länge von 2 m und eine Gewicht von max. 75 kg nicht überschreiten. Bitte vereinbaren Sie einen Termin - online oder telefonisch.Wichtiger Hinweis: Glastische können nicht bei der Sperrabfallabfuhr mitgenommen werden. Bitte bringen Sie diese für die Entsorgung zu den Wertstoffhöfe oder Deponien.",
Streusalz,,,Können Sie hier entsorgen:Restabfall Streusalz muss bitte über den Restabfall entsorgt werden.  ,
Streu,Restabfall,Restabfalltonne,"Nach dem Aussortieren von Wertstoffen (z.B. Papier oder Glas), Bio-, Bau- (z. B. Steine) und Sonderabfällen bleibt noch der so genannte Restabfall, der in die Restabfalltonne gehört, wie z. B. Asche, Essensreste, Brot- und Kuchenreste, Fleisch- und Fischreste, Glühlampen, Kehricht usw. übrig. Zur Grillzeit gehört Grillkohle (vollständig ausgeglüht), Schaschlikspieße, Streichhölzer, Feuerzeuge (wenn sie leer sind) und Servietten in die Restabfalltonne.Wenn gelegentlich mehr Abfall anfällt, können Sie beim Wertstoffhof oder online einen Zusatzsack kaufen. Stellen Sie diesen am Leerungstag einfach zu dem Restabfallbehälter - wir nehmen ihn mit.",
Kuscheltiere,,,Gut erhaltene Kuscheltiere können noch Gutes tun. Deshalb z.B. über gängige Gebrauchtbörse oder soziale Einrichtungen anbieten und Ihnen ein neues Zuhause geben. Nicht mehr gebrauchsfähige Kuscheltiere gehören in den Restabfallbehälter oder besonders Große zum Sperrabfall.,
Kunststofftüte,Leichtverpackungen,Gelbe Tonne,"Leichtverpackungen (LVP) sind Verkaufsverpackungen aus Kunststoffen, Metallen oder Materialverbunden. Zu den Leichtverpackungen gehören z. B. Joghurtbecher, Kunststoffflaschen und -folien. Leichtverpackungen werden im Stadtgebiet von Hannover und in der Region Hannover in der kostenfreien gelben Tonne gesammelt, anschließend sortiert und einer Verwertung zugeführt.Wichtiger Hinweis: Die Firma Remondis ist für die Leerung der gelben Tonne im Regionsgebiet zuständig und nicht aha. ",
