typ,typ_label,name,address,lat,lng,wertstoffinsel_glas,wertstoffinsel_kleider,wertstoffinsel_papier,google_maps_url
3.0,Grüngutannahmestelle,Grüngutannahmestelle Barsinghausen,"Blumenhof 3, 30890 Barsinghausen",52.315025174527,9.4599312543869,,,,"https://www.google.com/maps?q=52.315025174527,9.4599312543869"
3.0,Grüngutannahmestelle,Grüngutannahmestelle Kirchdorf,"Angerstr. 4, 30890 Barsinghausen",52.298425941901,9.5018916194109,,,,"https://www.google.com/maps?q=52.298425941901,9.5018916194109"
3.0,Grüngutannahmestelle,Grüngutannahmestelle Nordgoltern,"Grabenfeld 1, 30890 Barsinghausen",52.33761898894,9.4922009110451,,,,"https://www.google.com/maps?q=52.33761898894,9.4922009110451"
3.0,Grüngutannahmestelle,Grüngutannahmestelle Groß Munzel,"Osterende 30, 30890 Barsinghausen",52.364601348006,9.4822129771594,,,,"https://www.google.com/maps?q=52.364601348006,9.4822129771594"
3.0,Grüngutannahmestelle,Grüngutannahmestelle Winninghausen,"Düsterstraße 5a, 30890 Barsinghausen",52.325186786275,9.4365048408508,,,,"https://www.google.com/maps?q=52.325186786275,9.4365048408508"
3.0,Grüngutannahmestelle,Grüngutannahmestelle Otze,"Burgdorfer Str. 51 (Zufahrt über Hessenweg), 31303 Burgdorf",52.487203640286,10.008756816387,,,,"https://www.google.com/maps?q=52.487203640286,10.008756816387"
3.0,Grüngutannahmestelle,Grüngutannahmestelle Ramlingen,"Goldkuhle , 31303 Burgdorf",52.509907407512,9.9989640712738,,,,"https://www.google.com/maps?q=52.509907407512,9.9989640712738"
3.0,Grüngutannahmestelle,Grüngutannahmestelle Fuhrberg,"Kahlsweg (ca. 500m hinter dem Sportplatz), 30938 Burgwedel",52.576092833244,9.8403811454773,,,,"https://www.google.com/maps?q=52.576092833244,9.8403811454773"
3.0,Grüngutannahmestelle,Grüngutannahmestelle Thönse,"Neuwarmbüchener Straße , 30938 Burgwedel",52.492639146577,9.8993682861328,,,,"https://www.google.com/maps?q=52.492639146577,9.8993682861328"
3.0,Grüngutannahmestelle,Grüngutannahmestelle Wettmar,"Moodweg (Ecke Alter Damm) , 30938 Burgwedel",52.519691267991,9.9201929569244,,,,"https://www.google.com/maps?q=52.519691267991,9.9201929569244"
