canonical_key,lang,alias_text,alias_norm,alias_type,source,confidence
abbeizer_fuer_lacke,de,Abbeizer für Lacke,abbeizer fuer lacke,auto,seed,0.90
abbeizer_fuer_lacke,de,Abbeizer für Lacke,abbeizer fur lacke,primary,seed,1.00
abbeizer_fuer_lacke,de,Abbeizer für Lacke,abbeizerfuerlacke,auto,seed,0.80
abbeizer_fuer_lacke,de,Abbeizer für Lacke,abbeizerfurlacke,auto,seed,0.85
abbeizmittel,de,Abbeizmittel,abbeizmittel,primary,seed,1.00
abbruchhoelzer,de,Abbruchhölzer,abbruchhoelzer,auto,seed,0.90
abbruchholz,de,Abbruchholz,abbruchholz,primary,seed,1.00
abbruchhoelzer,de,Abbruchhölzer,abbruchholzer,primary,seed,1.00
abdeckfolien,de,Abdeckfolien,abdeckfolien,primary,seed,1.00
abflussreiniger,de,Abflussreiniger,abflussreiniger,primary,seed,1.00
abflussreiniger_rohrreiniger,de,Abflussreiniger/Rohrreiniger,abflussreiniger rohrreiniger,primary,seed,1.00
abflussreiniger_rohrreiniger,de,Abflussreiniger/Rohrreiniger,abflussreinigerrohrreiniger,auto,seed,0.85
abscheideranlage,de,Abscheideranlage,abscheideranlage,primary,seed,1.00
abtoenfarbe,de,Abtönfarbe,abtoenfarbe,auto,seed,0.90
abtoenfarbe,de,Abtönfarbe,abtonfarbe,primary,seed,1.00
aceton,de,Aceton,aceton,primary,seed,1.00
acryl_silikon,de,Acryl/ Silikon,acryl silikon,primary,seed,1.00
acrylharzlacke,de,Acrylharzlacke,acrylharzlacke,primary,seed,1.00
acryl_silikon,de,Acryl/ Silikon,acrylsilikon,auto,seed,0.85
adventskranz,de,Adventskranz,adventskranz,primary,seed,1.00
aeste,de,Äste,aeste,auto,seed,0.90
aeste_dicke,de,"Äste, dicke",aeste dicke,auto,seed,0.90
aeste_dicke,de,"Äste, dicke",aestedicke,auto,seed,0.80
aetznatron,de,Ätznatron,aetznatron,auto,seed,0.90
akkumulatoren,de,Akkumulatoren,akkumulatoren,primary,seed,1.00
akkus,de,Akkus,akkus,primary,seed,1.00
akten,de,Akten,akten,primary,seed,1.00
akten_vertraulich,de,Akten (vertraulich),akten vertraulich,primary,seed,1.00
aktenordner,de,Aktenordner,aktenordner,primary,seed,1.00
akten_vertraulich,de,Akten (vertraulich),aktenvertraulich,auto,seed,0.85
akustikpaneele,de,Akustikpaneele,akustikpaneele,primary,seed,1.00
akustikplatten,de,Akustikplatten,akustikplatten,primary,seed,1.00
alkhydharzlacke,de,Alkhydharzlacke,alkhydharzlacke,primary,seed,1.00
allesbrenner,de,Allesbrenner,allesbrenner,primary,seed,1.00
alleskleber,de,Alleskleber,alleskleber,primary,seed,1.00
allzweckreiniger,de,Allzweckreiniger,allzweckreiniger,primary,seed,1.00
altakten,de,Altakten,altakten,primary,seed,1.00
altauto,de,Altauto,altauto,primary,seed,1.00
altfarben_altlacke,de,"Altfarben, Altlacke",altfarben altlacke,primary,seed,1.00
altfarben_altlacke,de,"Altfarben, Altlacke",altfarbenaltlacke,auto,seed,0.85
altfette_speisefette_fette,de,Altfette/Speisefette/Fette,altfette speisefette fette,primary,seed,1.00
altfette_speisefette_fette,de,Altfette/Speisefette/Fette,altfettespeisefettefette,auto,seed,0.85
altholz,de,Altholz,altholz,primary,seed,1.00
altholz_aussenbereich,de,Altholz (Außenbereich),altholz au enbereich,primary,seed,1.00
altholz_aussenbereich,de,Altholz (Außenbereich),altholz aussenbereich,auto,seed,0.90
altholz_gefaehrlicher_abfall,de,"Altholz, gefährlicher Abfall",altholz gefaehrlicher abfall,auto,seed,0.90
altholz_gefaehrlicher_abfall,de,"Altholz, gefährlicher Abfall",altholz gefahrlicher abfall,primary,seed,1.00
altholz_innenbereich,de,Altholz (Innenbereich),altholz innenbereich,primary,seed,1.00
altholz_ungefaehrlicher_abfall,de,"Altholz, ungefährlicher Abfall",altholz ungefaehrlicher abfall,auto,seed,0.90
altholz_ungefaehrlicher_abfall,de,"Altholz, ungefährlicher Abfall",altholz ungefahrlicher abfall,primary,seed,1.00
altholz_aussenbereich,de,Altholz (Außenbereich),altholzauenbereich,auto,seed,0.85
altholz_aussenbereich,de,Altholz (Außenbereich),altholzaussenbereich,auto,seed,0.80
altholz_gefaehrlicher_abfall,de,"Altholz, gefährlicher Abfall",altholzgefaehrlicherabfall,auto,seed,0.80
altholz_gefaehrlicher_abfall,de,"Altholz, gefährlicher Abfall",altholzgefahrlicherabfall,auto,seed,0.85
altholz_innenbereich,de,Altholz (Innenbereich),altholzinnenbereich,auto,seed,0.85
altholz_ungefaehrlicher_abfall,de,"Altholz, ungefährlicher Abfall",altholzungefaehrlicherabfall,auto,seed,0.80
altholz_ungefaehrlicher_abfall,de,"Altholz, ungefährlicher Abfall",altholzungefahrlicherabfall,auto,seed,0.85
altkleider,de,Altkleider,altkleider,primary,seed,1.00
altmedikamente,de,Altmedikamente,altmedikamente,primary,seed,1.00
altoel,de,Altöl,altoel,auto,seed,0.90
altoel_mineralisch,de,"Altöl, mineralisch",altoel mineralisch,auto,seed,0.90
altoel_mineralisch,de,"Altöl, mineralisch",altoelmineralisch,auto,seed,0.80
altoel,de,Altöl,altol,primary,seed,1.00
altoel_mineralisch,de,"Altöl, mineralisch",altol mineralisch,primary,seed,1.00
altoel_mineralisch,de,"Altöl, mineralisch",altolmineralisch,auto,seed,0.85
